SMILES,lambda_abs (raw),Score,step,dim1,dim2
CCN(CC)c1ccc2cc(-c3c4ccc(N(CC)CC)cc4nc4ccc(N(C)C)cc34)ccc2c1,487.5933,0.9004555,1,0.9616953,9.674513
Cn1cnc2c(-c3ccc(-c4ccccc4C(F)(F)F)o3)nn(-c3cccc(Cl)c3)c2c1=O,344.0903,0.0071467,1,-1.6256412,8.022328
Cc1ccc(-c2ncnc3c2oc2cc(O)ccc23)cc1,334.5055,0.0031544,1,-0.8466624,8.941434
CN(C)c1ccc(-c2cccc3c2oc2ccccc23)cc1,330.4022,0.0021988,1,-0.14538367,9.74967
Brc1ccc(N(c2ccccc2)c2ccc(C=Cc3ccc(-c4ccc(N(c5ccc(-c6ccccn6)cc5)c5ccc(-c6cccs6)cc5)cc4)cc3)cc2)cc1,395.7592,0.3918467,1,2.437202,7.27527
COc1cc2c(cc1OC)C1c3ccccc3C(C2)c2cc(-c3ccccc3)ccc21,290.0768,6.37e-05,1,-2.1215203,7.033906
c1ccc(Oc2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1,325.1696,0.0013691,1,1.1024432,5.835394
CCCC1(CC)C(=C(C#N)C#N)Oc2cc(N(C)C)c(-c3cccs3)cc21,405.7125,0.6248352,1,-1.4959495,8.8313055
CN(CCO)c1ccc(C(=O)Nc2ccc(Br)cc2)cc1,324.6586,0.0013544,1,-1.2795708,10.514346
COc1ccc(C=CC(=O)c2ccc(NC(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2)cc1N1CCCC1=O,369.6259,0.062363,1,-1.5028287,10.244615
CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3cc4nn(-c5ccc(N=Nc6ccc(-c7ccc(OCCCCC)c(O)c7)c(OCCCCCC)c6)cc5)nc4s3)cc2)cc1,442.0892,0.8721459,1,3.8830316,6.152249
COc1ccc(-c2nc3cc4ccccc4c(-c4ccc(OC)cc4)c3nc2-c2ccc(OC)cc2)cc1,428.269,0.8847619,1,-1.8411604,6.63386
CCCCN1c2cc(C(F)(F)F)ccc2Sc2cc(-c3ccc4ccccc4c3)c3c(c21)-c1ccccc1C3(C)C,352.0636,0.0140657,1,-0.33407587,8.001085
CSc1ccc(C#N)c2c1C(=O)C(=Cc1ccc(C)cc1)S2,427.2724,0.9033499,1,-1.2932029,9.241386
N#Cc1c(-c2ccccc2)c2ccccc2c2nc3ccccc3nc12,404.7469,0.5957292,1,-2.2424064,8.526836
FC(F)(F)c1ccc(C=CC2=CC(c3ccccc3)=C[N+]23CCC2(OCCO2)C3=NCc2ccccc2)cc1,383.3693,0.1839086,1,-1.25395,8.30043
N#Cc1ccc(-c2ccc(-c3ccc(-c4oc(-c5ccccc5)nc4C#N)cc3C#N)cc2)cc1,342.7939,0.0063649,1,-2.0459492,8.6848
CC1(C)CC(C)(C)c2cc(N(c3ccc(C#N)cc3)c3ccc(C(C)(C)C)cc3)ccc2N1,343.2208,0.0066827,1,0.5507089,6.4482713
COc1cc(C)c2c(=O)c(F)c(-c3ccccc3)oc2c1,341.8445,0.0060255,1,-1.835362,6.8356934
COc1ccc(-n2nc(-c3ccc(F)cc3)c(-c3cccc(OC)c3)n2)cc1,288.5028,5.63e-05,1,-1.9847392,6.5633874
CCCCC1(CCCC)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7F)cc6)o5)s4)s3)cc21,421.2817,0.8140918,2,1.8553683,5.2776284
CCCCCCn1c2ccccc2c2c3ccccc3n(C)c21,300.7067,0.0001627,2,-0.011227227,7.9076767
COCCN(C)c1c2c(cc3c1oc1cc(N(C)C)ccc13)COCO2,332.3791,0.0026284,2,-0.12626716,9.728813
O=[N+]([O-])c1ccc(C=Cc2ncnc3ccccc23)cc1,349.5316,0.0116517,2,-0.18110025,10.669776
CCCCCCc1cccc[n+]1C,314.5847,0.00055,2,-0.057748124,8.114651
CCCCCCC1(CCCCC)c2cc(N(c3ccccc3)c3ccccc3)ccc2-c2cc(C#N)c3ccccc3c21,399.5894,0.4731142,2,0.97058934,6.22579
O=S(=O)(c1ccccc1)n1cc(-c2ccc3nc(-c4ccco4)c(C=Cc4ccccc4)nc3c2)c2ccccc21,405.2094,0.5971357,2,-1.5299346,7.851692
CCN(CC)c1ccc2cc(-c3ccc(N(CC)CC)c(OC)c3)c(=O)oc2c1,426.6228,0.8961837,2,1.3589381,10.157771
CCCCCCCCCCc1ccc(-c2ccc(-c3ccc(C=C(C#N)C#N)s3)s2)s1,496.6567,0.8479281,2,6.27724,8.641832
COc1cc(NCCCSC)cc(OC)c1,285.2382,4.28e-05,2,-0.93034756,7.822963
O=S1(=O)c2ccccc2C(N2CCCc3cc(N(c4ccccc4)c4ccc5c(c4)OCCO5)ccc32)c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)nc21,393.063,0.3387341,2,1.15077,5.1929255
N#CC(=C=CC(=O)c1ccc(Br)cc1)C#N,352.2658,0.0145257,2,-1.0547017,9.260662
Cc1ccc2oc(=O)cc(-c3ccc(C=C(C#N)C#N)cc3)c2c1,364.804,0.0430633,2,4.6802588,9.727794
COc1ccc(-c2sc3ncc[n+](C)c3c2-c2ccc(OC)cc2)cc1,452.8543,0.9623789,2,-1.8043227,6.5741906
CCN(CC)c1ccc(N=Nc2ccc(C(C)=CC=C(C#N)C#N)cc2)cc1OC,486.8927,0.9111802,2,2.2096195,9.791192
COc1c2cccccc-2ccc1=O,421.2767,0.8661909,2,-2.0616326,6.975843
CCCCCCC1(C)C(C=CC=C2C(C)(C)c3ccc(-c4ccc5c(c4)oc4ccc(N6CCCC6)cc45)cc3C2(O)OCC)=[N+](C)c2cc(S(=O)(=O)O)ccc21,578.7421,0.0052524,2,-0.5595148,8.916132
O=C1Nc2ccccc2C1=Cc1ccc(-c2ccc3ccccc3c2)o1,426.5708,0.896591,2,-2.4367397,7.9754443
CCCCC1(c2ccccc2)C2=C(CCC2)c2cccc(-c3ccc(N(c4ccc(C)cc4)c4ccc5ccccc5c4)cc3)c21,351.271,0.0130212,2,0.76045865,5.2321396
C[N+]1=CCc2ccccc2C1,289.6569,6.19e-05,2,-1.0294658,8.404075
COC1=CC(=Cc2ccc3nc4cc(OC)c(OC)nc4cc3c2)CC1(OC)OC,428.5871,0.9021133,2,-1.795118,7.359515
CCCNC(=O)c1cccc(-c2c(=O)ccn3cc(N)ccc23)c1,418.4774,0.8382641,2,-0.8535659,9.071949
CCCCCCC1=c2cc(C)c(-c3ccc(OC)cc3)cc2=C(c2ccccc2)C1,457.7638,0.9585901,2,-1.6643107,6.3668137
CCCCCCN1C(=O)c2cccc(-c3ccc(C=C(C#N)C#N)s3)c2C1=O,402.8706,0.5590512,2,6.226913,8.696211
Cc1ccc(-c2cc(-c3ccc(C)cc3)c3ccccc3n2)cc1,318.5303,0.0007763,2,-1.8882909,8.022438
N#Cc1ccc(C=c2oc(=Cc3sc(-c4ccc5nc(-c6c(Cl)cccc6Br)oc5c4)c4c3OCCO4)c3ccccc23)cc1,464.125,0.9318054,2,-2.3711736,8.601356
CCCCN(CCCC)c1ccc(C=Cc2ccc(C=CC(=O)c3ccccc3)o2)cc1,481.8084,0.9201524,2,1.6296917,8.554783
CN(C)c1ccc2c(c1)c(C=c1cc(C=C3C=C4Sc5ccccc5N4CC3)[nH]c1=C(C#N)C#N)cc1ccccc12,693.79,2e-07,2,-1.9049218,8.847215
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc(-c4cn(-c5ccc(OC)cc5)nn4)s3)cc2)cc1,379.9445,0.1414306,2,2.589836,5.822378
COc1ccc(-c2cc3c(c4ccccc24)OC2(OC(N)=C(C#N)C24C=Cc2ccccc2O4)N3c2ccccc2C)cc1,375.0846,0.096949,2,-1.8271023,6.565636
COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3nc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)nc(-c4ccc(-c5ccc(N(c6ccc(OC)cc6)c6cccc7ccccc67)cc5)s4)n3)cc2)cc1,420.929,0.8075912,2,2.5243533,5.588581
C=Cc1ccc2nc(-c3ccc(-c4cc(-c5ccc(-c6cccs6)s5)nc(-c5cccc(N(CC)CC)c5)n4)cc3)cc(-c3ccccc3OCCN(C)C)c2n1,388.1493,0.2485331,2,2.1679118,5.3963823
CC1(C)c2ccccc2-c2ccc(N(Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccc4c5c(cccc35)C=Cc3ccccc3-4)cc21,399.1213,0.4655706,2,0.95320934,5.8524885
CN(C)c1ccc2ccccc2n1,352.735,0.0154889,2,-1.7461114,8.442471
Fc1ccc(-c2ccc3c(c2)OCO3)cc1,287.799,5.36e-05,2,-0.9127794,8.504685
CCCCC(=O)Nc1ccc(C(=O)C=Cc2ccc(N(C)CCO)cc2)cc1,421.9887,0.862177,2,-1.4947199,10.71891
CCCCCCOc1ccc(N(c2ccc(C=CC3=CC=C(CCCC)N(c4ccc(C=Cc5ccc(C=C(c6ccccc6)c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5)cc4)C=C3)cc2)c2ccc(CCCCCC)cc2)cc1,485.5441,0.8559331,3,3.6402175,7.461092
CC(C)(C)c1ccc2c(c1)Cc1ccccc1N2c1ccc2c(c1)C(c1ccccc1)(c1ccccc1)c1ccccc1-2,347.7567,0.0096931,3,-0.8192133,7.991743
[C-]#[N+]c1ccc([N+](=O)[O-])cc1O,344.4581,0.0074101,3,-0.1963011,10.871184
COc1ccc2c(=O)c(-c3ccc(OC)c(OC)c3)coc2c1,321.8716,0.0010555,3,-1.6182102,6.8966327
CCN(CC)c1ccc(C=Cc2ccc(OC)cc2)cc1,357.4088,0.0232162,3,2.1571367,9.121381
CCCCCCN1C(=Cc2c(C=CC=C3N(CCCCCC)c4ccccc4C3(C)C)c3ccccc3oc2=O)Sc2ccccc21,631.0543,5.56e-05,3,-0.05443254,8.183282
N#Cc1ccc2c(c1)c1ccccc1n2-c1ccc(Oc2cc(C#N)c(-c3ccncc3)c(-c3ccccc3)n2)cc1,350.0829,0.0118702,3,-0.8237578,6.8447165
N#CC(C#N)=Cc1ccc(-c2ccc(N3CCCc4ccccc43)cc2)[nH]1,483.9638,0.9444255,3,4.9871798,9.419653
c1ccc2c(c1)c1ccccc1n2-c1ccc2oc3ccc(-n4c5ccccc5c5ccc(-c6ccncc6)cc54)cc3c2c1,337.9299,0.0041228,3,-0.87792736,6.740202
N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccc(F)c(F)c3)c3c(F)c(F)c(F)c(F)c3C(F)(F)F)cc2)cc1,436.5808,0.893507,3,6.1571784,12.828327
C[n+]1ccn(-c2c3ccc(=N)cc-3oc3cc(CO)ccc23)c1,476.7365,0.9462242,3,0.23692457,9.684146
CCCCCCCCCCCCSc1ccc2c(c1)C(=C1C(=O)N(CCCCCCC)C(C#N)=C1C#N)c1ccc(SCCCCCCCCCCCC)cc1C21CC(CCCCCCCCCCC)S1,551.8975,0.0518457,3,-0.026299998,8.471227
N#Cc1nc(C=Cc2cccnc2)nc(C#N)c1C#N,371.7317,0.0772788,3,-1.8911775,9.046076
N#CC(C#N)=Cc1ccc2c3cc(C#N)ccc3n(CCCN3c4ccccc4Sc4ccccc43)c2c1,424.5414,0.8603902,3,5.8583336,9.561811
c1ccc2c(c1)sc1ccc(-c3cc4ccc5cccc6c7ccccc7c(c3)c4c56)cc12,362.6515,0.0347724,3,-2.6238623,7.809053
COc1ccc2c(-c3ccccc3)c3ccc(Cl)cc3cc2c1,399.9794,0.499207,3,-1.8159053,6.6262746
CCc1ccc(-c2c3ccc(=N)cc-3oc3cc(N(CC)CC)ccc23)cc1,522.4665,0.4457976,3,0.6499191,10.059209
CN(CCO)c1ccc(C=CC(=O)c2ccc(NC(=O)c3ccc4c(c3)OCCO4)cc2)cc1,427.5313,0.8959491,3,-1.5648615,10.73815
c1ccc2c(c1)CCN(CCCn1c3ccccc3c3ccccc31)C2,329.6657,0.0020607,3,-0.7882197,7.8542194
CCCCCCOc1ccc(N(c2ccc(CCCCCC)cc2)c2ccc(-c3ccc(-c4ccc(N(c5ccc(C=C(C#N)C#N)cc5)c5ccc(CCCC)cc5)cc4)s3)cc2)cc1,467.0122,0.8938813,3,5.4399242,7.5635705
CCCCCCCCCCN1C(=O)C(=Cc2c3ccccc3cc3ccccc23)c2ccccc21,393.7639,0.3533454,3,-0.08507907,8.327902
c1ccc(-n2c3ccccc3c3c4c5ccccc5oc4c4ccccc4c32)cc1,334.4645,0.0030786,3,-1.0420467,7.020941
c1ccc(-n2c(-c3ccc(-c4ncccn4)cc3)nc3ccccc32)cc1,319.7398,0.0008632,3,-1.5143353,7.575612
CN(C)c1ccc(C=Cc2nc3c(-c4ccc(N(C)C)cc4)cccc3c3ccccc23)cc1,433.7685,0.9129313,3,-0.3743985,9.799976
CCCCC(CC)COc1cc2c3cc(-c4ccc(OC)c(OC)c4)ccc3c3ccc(-c4ccc(OC)cc4)cc3c2cc1OC,336.5477,0.0035854,3,-1.5289153,6.886172
CCCCC(CC)CN1c2ccccc2Sc2cc(-c3ccc(N(c4ccc(C(C)C)cc4)c4ccc5c(c4)C(CC)(CC)c4cc(C=C(C#N)C#N)sc4-5)cc3)ccc21,526.5601,0.3418356,3,6.2299957,9.934563
COc1cccc(OC)c1-c1nc2ccccc2nc1-c1ccccc1,345.5376,0.0082399,3,-2.2276604,6.9996724
N#CC(C#N)=Cc1ccc(-c2ccc(C=C(C#N)c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)s1,462.1863,0.9306929,3,8.235703,10.855336
c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4nc5sc(-c6cccs6)cc5s4)s3)cc2)cc1,422.9142,0.846241,3,2.0324447,5.2523947
COc1cc(C2C3=C(CCCC3=O)N(C)C3=C2C(=O)CC(C)C3)cc(OC)c1O,348.7697,0.0109915,4,-0.9786811,8.98481
Cc1cc(C)c(-c2c(C)cc(C#N)c(Cc3cccc4ccccc34)c2C)c(C)c1,303.628,0.0002089,4,-2.4618297,8.395737
c1ccc(-c2cccc(-c3ccnc4ccc(-c5ccco5)cc34)n2)cc1,350.1135,0.0121374,4,-2.0751235,7.9359584
COc1ccc2c(c1)-c1ccc(-c3cc(-c4ccccc4)[n+](-c4ccccc4)c(-c4ccccc4)c3)cc1C2(C)C,469.5011,0.9345407,4,-2.026339,6.5955806
C(=Cc1cc(-c2ccccc2)nc(-c2ccccc2)n1)c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)cc1,410.0318,0.6808965,4,2.4280562,7.0091414
ON=C(O)c1ccc2ccc3cccc4ccc1c2c34,361.7323,0.0321406,4,-2.4470274,8.102343
CCCCCCOc1ccc(N(c2ccc(Oc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c2ccc(-c3ccc(C=C(C#N)C#N)s3)cc2)cc1,511.6245,0.636009,4,5.685946,7.2855134
CN(C)c1ccc(-c2oc3cccc(N(C)C)c3c(=O)c2C=O)cc1,419.2199,0.8425752,4,-0.214772,9.857483
O=C1NC(=O)C(=Cc2ccc(C(CCO)N3Cc4ccccc4C3=O)cc2)C(=O)N1,387.5465,0.2506188,4,-1.3197534,8.033929
c1ccc(-c2ccc3oc4c(ccc5ccc6ccccc6c54)c3c2)cc1,334.4099,0.0030655,4,-2.5273392,7.748143
O=[N+]([O-])c1ccc2c3cc(Oc4ccccc4[N+](=O)[O-])ccc3c3ccccc3c2c1,377.6056,0.118534,4,-0.23506477,10.894044
C[n+]1ccc(C=Cc2ccc(-c3oc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c4ccc5ccccc5c34)o2)cc1,516.7175,0.5538467,4,1.7724844,7.0459967
Cc1ccc(-n2nc(C=Cc3ccc(Cl)cc3)c3ccccc32)cc1,340.4907,0.0052779,4,-1.1261823,7.366671
COc1ccc(C(=Cc2cc3c4c(c2)CCCN4CCC3)c2ccc(N(C)C)cc2)cc1,387.2364,0.2453364,4,-0.35725176,9.606844
N#Cc1cc(N(Cc2ccc(Cl)cc2)Cc2ccc(C(F)(F)F)cc2)nc(C(C#N)C#N)n1,333.5293,0.002874,4,-1.5315492,8.96585
CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc(-c5ccc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)s5)s4)cc3)c3ccc4c(c3)OCCO4)cc21,421.682,0.8255344,4,1.7350373,5.2658443
CCCN1Cc2ccccc2-c2cn(-c3ccc(C#N)cc3)nc21,368.9801,0.0616256,4,-1.5168535,8.816554
c1ccc(N(c2ccccc2)c2ccc3c4ccccc4n(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)c3c2)cc1,346.7987,0.008921,4,-0.20529431,6.1833153
CCCC(=O)Nc1ccc(C(=O)C=Cc2ccc(N(C)CCO)cc2)cc1,425.1234,0.889171,4,-1.5115266,10.758713
COc1ccc(-c2c3c(cc4oc(-c5ccc(Br)cc5)cc24)OCC3c2ccccc2)cc1,349.0106,0.0108543,4,-1.7836044,6.693344
CCCCCCCCCOc1ccc(-c2c3ccc(=N)cc-3oc3cc(O)ccc23)cc1[N+](=O)[O-],495.316,0.8414927,4,0.43291414,9.880184
COc1c(C)cccc1-c1ccc2ccc(-c3nc4ccccc4n3C)nc2n1,342.2074,0.00612,4,-2.0531483,7.679663
CCCCC(CC)Cc1ccc2c(c1)C(CC)(CC)c1cc3c(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cc4c5ccc(-c6ccc7c(c6)C(=O)N(C)C7=S)cc5sc4c3cc1-2,412.9086,0.7167665,4,-0.55173934,6.9185452
CCN(CC)c1ccc2c(-c3ccc(N(C)C)c(C)c3)c3ccc(=N)cc-3oc2c1,522.7624,0.4387682,4,0.63924074,10.105954
CN1CC(O)CN(c2ccc3ccccc3c2)C1=C(C#N)C#N,342.7259,0.006503,4,-1.9198021,8.776346
Cc1ccc(Nc2nc(C)cc(C#N)n2)cc1,356.392,0.021364,4,-1.326767,9.321485
CCN(CC)c1ccc2c(C)c(-c3cccc(Br)c3)c(=O)oc2c1,386.6756,0.2377776,4,1.0679913,10.101881
CC1=C(C)CC(c2ccc(-c3ccc4c(O)c(-c5cc(C)ccc5C)oc4c3)cc2)=C1,362.8527,0.0361007,4,-0.68549997,8.969191
CCN(CC)c1ccc2oc(=O)cc(O)c2c1,393.4328,0.3666082,4,1.1580486,10.110379
Cc1ccc(C2=CC=c3c4cc(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)ccc4c4nc5cccc2c5n34)cc1,438.4792,0.917272,4,-0.89827883,6.885804
COc1cccc(-c2nc3ccccc3[nH]2)c1,301.8515,0.0001833,4,-2.0816176,6.695815
CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3ccc4cc(C=C(C#N)C#N)sc4c3)cc2)cc1,500.0487,0.7941251,4,5.0226274,7.3391786
CCCCc1c(C=C(C#N)c2cc(CCC)c(CC)s2)cc(C#N)c(-c2ccc(N(c3ccc(C)cc3)c3ccc(C)cc3)cc2)c1C#N,429.9291,0.8741335,4,7.643198,11.542828
COc1ccc(-c2cccc(-c3nc(-c4cccc(OC)c4)cs3)n2)cc1,328.563,0.0018671,4,-2.06414,6.4732213
c1ccc2nc3c(nc2c1)sc1c2ccccc2sc31,405.2676,0.6105746,4,-1.9978571,7.8627996
CN(C)c1ccc(C(=O)C(N)c2ccc(F)cc2)cc1,351.8035,0.0143799,4,-0.5486607,9.725941
CCN1CNc2ccc(CN)cc2C1,294.2225,9.38e-05,4,-0.86646885,8.842917
C[n+]1c(C#N)c(C=Cc2ccccn2)nc2ccccc21,421.5703,0.8643065,5,-2.009845,8.762947
CC(C)CCOc1cccc2c1oc1cc(-c3ccc(-c4nc(C=Cc5ccccc5)nc(-c5ccccc5)n4)c(C=Cc4ccccc4)c3)sc12,382.8082,0.1725666,5,-2.0831978,7.8405204
Fc1cc(F)c(F)c(-c2cnn3ccccc23)c1,311.4972,0.0004227,5,-1.3991988,8.215496
Nc1cc(=O)[nH]c(SC=Cc2ccc(NC(=O)c3ccccc3)cc2)n1,347.242,0.0095057,5,-1.4225111,9.95075
N#CC(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,419.2021,0.8049249,5,4.2242203,12.003367
Cc1ccc(-c2cc[n+](C)cc2)c(C)c1,350.7361,0.0129883,5,-0.52500546,8.989621
Cc1onc(-c2ccccc2)c1C=Cc1ccc(F)cc1,301.2186,0.0001728,5,-1.3901925,8.458162
COc1ccc(-c2nc(-c3c(O)cccc3OC)c(C#N)[nH]2)cc1,307.4802,0.0002995,5,-1.8950125,6.9018326
CCCCCCOc1ccc(N(c2ccc(OCCCCC)cc2)c2ccc(-c3ccc4nc(C=C(C#N)C#N)sc4c3)cc2)cc1,511.2582,0.6446199,5,4.9260364,7.357623
CN(C)c1nc(F)c(F)c(F)c1Cc1ccccc1,306.5288,0.0002759,5,-1.4326984,8.575196
COc1ccc(-n2nc3ccccc3c2-c2ccccc2)cc1,316.1375,0.000634,5,-1.9089867,6.5610538
COc1cc(C=C(C#N)C(=O)C=Cc2ccc(N(C)CCO)cc2)ccc1O,466.8818,0.9645229,5,-1.3592169,10.74229
CCCCN1C(=CC=CC2=[N+](C)c3ccccc3C2(C)C)C(CCC)Sc2cc(OC)ccc21,568.3733,0.0137257,5,-0.42108124,8.085554
N#CC(C#N)=Cc1ccc(N2C(=O)C3(c4ccccc42)c2ccccc2N(c2ccccc2)c2ccccc23)cc1,424.2068,0.8565067,5,5.253655,9.864447
ClN=Cc1ccccc1Cl,294.2755,9.35e-05,5,-1.5257188,8.271496
CCN(CC)c1ccc(N=Nc2ccc(C(C#N)c3ccccc3)cc2)cc1,460.6678,0.9605897,5,1.844389,9.719456
COc1ccc(C(=Cc2ccc3c4cc(-c5ccc(C=C(C#N)C#N)s5)ccc4n(-c4ccc(OC)cc4)c3c2)c2ccc(OC)cc2)cc1,475.606,0.9108106,5,8.73885,9.458338
N#CC(C#N)=Cc1ccc(-c2cc3c(cc2-c2ccc(N(c4ccccc4)c4ccccc4)cc2)oc2ccc4ccccc4c23)s1,437.7829,0.9106464,5,9.361224,10.592879
CCN(CC)c1ccc2c(-c3c(OC)cccc3OC)c3ccc(=N)cc-3oc2c1,531.3002,0.2692582,5,0.64218414,10.153655
COc1ccc(N(c2ccc(OC)cc2)c2ccc3ccc4ccc5ccccc5c4c3c2)cc1,393.9371,0.3637146,5,1.4955237,6.6354856
CCCCCc1ccc(C2CCCC2=Cc2ccc(N(c3ccc(OCCCC)cc3)c3ccc(OCCCC)cc3)cc2)cc1,352.8347,0.0147278,5,3.7840552,6.815547
CCCCCCCCCCCCn1c2cc(-c3ccc(C(C)(C)C)cc3)ccc2c2ccc(-c3cc[n+](CCCCCCCCCC)cc3)cc21,422.9227,0.810864,5,0.22839878,7.806527
CCOc1ccc(C=CC(=O)c2ccc(NC(=O)c3ccc(NC(=O)C=Cc4ccc(OC)c(OC)c4)cc3)cc2)cc1,370.0765,0.0642453,5,-1.4703602,10.364256
CCCCN1c2cc(-c3ccc(C(C#N)=Cc4cc5ccccc5s4)s3)ccc2C2CCCC21,504.4124,0.7723455,5,6.550997,9.50785
CC(C)(C)c1ccc(N(c2ccc(C(C)(C)C)cc2)c2ccc3c(c2)C(C)(C)c2cc(-c4ccc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)c(F)c4)ccc2-3)cc1,381.5877,0.1588507,5,1.0652605,5.6234245
CN(C)c1ccc2c(c1)C(=Nc1ccc(N=Nc3ccc([N+](=O)[O-])cc3[N+](=O)[O-])cc1)C=CC2=O,506.9943,0.7375388,5,0.09137582,10.745383
CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3ccc(-c4sccc4-c4ccc(C=C(C#N)C#N)s4)s3)cc2)cc1,504.8587,0.7350118,5,5.611572,7.2910404
CCn1c2cc(C(C)(C)C)ccc2c2c1cc(-c1cc(=O)oc3c(C#N)cccc13)n2-c1ccc(OC)cc1,432.0025,0.900448,5,-1.4254773,7.450109
C(=Cc1cccc2ccccc12)c1ccc2c(c1)c1cc3ccccc3cc1n2-c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)cc1,383.1887,0.1791852,5,-0.9507555,7.110203
N#CC(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1,468.3583,0.9231361,5,7.922574,11.545617
CCCCCCOc1ccc2c(c1)N(CCCCCC)c1ccc(-c3ccc4sc5ccc(-c6cccnc6)cc5c4c3)cc1O2,366.2443,0.0464142,5,0.21040553,7.4956365
COc1ccc2cc(C=c3sc4nc(-c5cccc6ccccc56)nn4c3=O)c(=O)oc2c1,441.1728,0.94124,5,-1.735654,6.990258
COc1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc2c(c1)c1cc(-c3ccc(C(F)(F)F)cc3)ccc1n2-c1cc(C(C)(C)C)cc(C(C)(C)C)c1,343.8766,0.0068711,5,-1.2482361,7.3172016
CCCCCCN1C(=O)c2cc3sc(=S)n(-c4ccc(C=C(C#N)C#N)s4)c3cc2C1=O,441.5896,0.9182457,5,6.0253377,8.884931
O=C1C=C(c2ccc(Br)cc2)NC(=O)C1=Cc1ccc([N+](=O)[O-])s1,456.5748,0.9545362,5,-0.3525439,10.639773
CN(C)c1ncccc1C#N,349.121,0.0112707,5,-1.6474221,8.907717
COc1ccccc1Oc1c2ccccc2c(-c2ccccc2)c2ccccc12,387.6083,0.2488821,5,-2.201524,6.9735703
