dataset,chembl_id,pref_name,smiles,inchikey,scaffold_class,core_name_ru,core_smiles,ring_system,chem_class,typical_use,core_examples,all_matched_cores,n_matched_cores,is_multicore,murcko_scaffold,murcko_generic,mw,heavy_atoms,clogp,tpsa,hbd,hba,rotb,rings,aromatic_rings,fsp3,n_stereocenters,qed,max_phase,natural_product
chembl_scaffold_classes,CHEMBL1240548,,O=C(/C(=C\c1ccc(O)cc1)SCc1ccc(Cl)c(Cl)c1)c1ccc(Cl)cc1,VVTCQLGJVBMJCO-CIAFOILYSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)SCc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CCC1CCCCC1)CC1CCCCC1,449.79,28,7.51,37.3,1,3,6,3,3,0.0455,0,0.31,,0
chembl_scaffold_classes,CHEMBL1240556,,Cc1ccc(S/C(=C/c2ccc(O)c([N+](=O)[O-])c2)C(=O)c2ccc(Cl)cc2)cc1,QCVBQCMXGVGRMX-FYJGNVAPSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)Sc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)CC1CCCCC1,425.89,29,6.278,80.44,1,5,6,3,3,0.0455,0,0.17,,0
chembl_scaffold_classes,CHEMBL1240557,,O=C(/C(=C\c1ccc(O)cc1O)Sc1ccccc1Br)c1ccc(Cl)cc1,SGUBEFPWUSJOAS-RGVLZGJSSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)Sc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)CC1CCCCC1,461.76,27,6.53,57.53,2,4,5,3,3,0.0,0,0.26,,0
chembl_scaffold_classes,CHEMBL1241596,,COc1cc(OC)c(/C=C(/SCc2ccc(Cl)cc2)C(=O)c2ccc(Br)cc2)c(OC)c1,NOQBAIHYHUIZHF-ZVHZXABRSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)SCc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CCC1CCCCC1)CC1CCCCC1,533.87,32,7.286,44.76,0,5,9,3,3,0.16,0,0.21,,0
chembl_scaffold_classes,CHEMBL1241597,,O=C(/C(=C\c1cc(Cl)cc(Cl)c1Cl)Sc1ccccc1Br)c1ccc(Cl)cc1,GOUNSFPQRSIKBJ-VXLYETTFSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)Sc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)CC1CCCCC1,533.1,28,9.079,17.07,0,2,5,3,3,0.0,0,0.14,,0
chembl_scaffold_classes,CHEMBL1241598,,O=C(/C(=C\c1ccc(Cl)cc1Cl)S(=O)(=O)c1ccc(Br)cc1)c1ccc(Cl)cc1,MTBWTMZDSVQQLI-RGVLZGJSSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)S(=O)(=O)c1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)C(C)(C)C1CCCCC1,530.65,29,7.107,51.21,0,3,5,3,3,0.0,0,0.26,,0
chembl_scaffold_classes,CHEMBL1241697,,CCOc1ccc(/C=C(\C(=O)c2ccc(Cl)cc2)S(=O)(=O)c2ccc(C)cc2)cc1OC,YCIBUMAXHKKKRZ-LFVJCYFKSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)S(=O)(=O)c1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)C(C)(C)C1CCCCC1,470.97,32,5.753,69.67,0,5,8,3,3,0.16,0,0.31,,0
chembl_scaffold_classes,CHEMBL1241698,,O=C(/C(=C\c1ccc(OC(F)(F)F)cc1)S(=O)(=O)c1ccc(Br)cc1)c1ccc(Br)cc1,DRGSYUBSWUONEP-DEDYPNTBSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)S(=O)(=O)c1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)C(C)(C)C1CCCCC1,590.21,32,6.808,60.44,0,4,6,3,3,0.0455,0,0.23,,0
chembl_scaffold_classes,CHEMBL1241699,,COc1ccc(/C=C(/Sc2ccc(Br)cc2)C(=O)c2ccc(Cl)cc2)cc1,DLGIWTRMWPSZSN-KGENOOAVSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)Sc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)CC1CCCCC1,459.79,27,7.127,26.3,0,3,6,3,3,0.0455,0,0.22,,0
chembl_scaffold_classes,CHEMBL1241705,,O=C(/C(=C\c1ccc(O)cc1O)SCc1ccc(Cl)cc1)c1ccc(Cl)cc1,CNSRQWASLLEZRE-SRZZPIQSSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)SCc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CCC1CCCCC1)CC1CCCCC1,431.34,28,6.562,57.53,2,4,6,3,3,0.0455,0,0.34,,0
chembl_scaffold_classes,CHEMBL1241710,,O=C(/C(=C\c1ccc(O)c([N+](=O)[O-])c1)SCc1ccc(Br)cc1)c1c(F)c(F)c(F)c(F)c1F,HRBJJWSQKAEYJI-OVCLIPMQSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)SCc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CCC1CCCCC1)CC1CCCCC1,560.29,34,6.916,80.44,1,5,7,3,3,0.0455,0,0.06,,0
chembl_scaffold_classes,CHEMBL1241711,,O=C(/C(=C\c1cc(Br)c(O)c(Br)c1)S(=O)(=O)Cc1ccc(Br)cc1)c1ccc(Br)cc1,JHQNAQHIHHZLRS-RGVLZGJSSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)S(=O)(=O)Cc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)C(C)(C)CC1CCCCC1,694.03,31,7.281,71.44,1,4,6,3,3,0.0455,0,0.22,,0
chembl_scaffold_classes,CHEMBL1241712,,O=C(/C(=C\c1ccc([N+](=O)[O-])c(O)c1)S(=O)(=O)c1ccc(Br)cc1)c1c(F)c(F)c(F)c(F)c1F,NQOLFPUTUXFCGG-RIYZIHGNSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)S(=O)(=O)c1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)C(C)(C)C1CCCCC1,578.27,35,5.456,114.58,1,6,6,3,3,0.0,0,0.08,,0
chembl_scaffold_classes,CHEMBL1241713,,O=C(/C(=C\c1ccc(O)c(Br)c1)Sc1ccc(Br)cc1)c1c(F)c(F)c(F)c(F)c1F,SDEVIULKCRYBNC-RIYZIHGNSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)Sc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)CC1CCCCC1,580.17,31,7.629,37.3,1,3,5,3,3,0.0,0,0.08,,0
chembl_scaffold_classes,CHEMBL1241714,,COc1ccc(/C=C(/SCc2ccc(F)cc2)C(=O)c2ccc(C(=O)O)cc2)cc1O,CZKLZJOLYGJZCO-LPYMAVHISA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)SCc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CCC1CCCCC1)CC1CCCCC1,438.48,31,5.395,83.83,2,5,8,3,3,0.0833,0,0.36,,0
chembl_scaffold_classes,CHEMBL1241778,,O=C(O)c1ccc(C(=O)/C(=C\c2ccc(F)c([N+](=O)[O-])c2)[S+]([O-])Cc2ccc(Br)cc2)cc1,AUXNJAHNXRMNJA-CIAFOILYSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)[SH+]Cc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CCC1CCCCC1)CC1CCCCC1,532.34,33,5.367,120.57,1,5,8,3,3,0.0435,1,0.14,,0
chembl_scaffold_classes,CHEMBL1241779,,O=C(/C(=C\c1ccc(Br)cc1)Sc1ccc(Br)cc1)c1ccc(Br)cc1,HMCUKJDGPUGMBX-DEDYPNTBSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)Sc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)CC1CCCCC1,553.11,26,7.99,17.07,0,2,5,3,3,0.0,0,0.18,,0
chembl_scaffold_classes,CHEMBL1241780,,O=C(/C(=C\c1ccc(I)cc1)Sc1ccc(Br)cc1)c1ccc(Br)cc1,LOTAEYZDNWCHCN-DEDYPNTBSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)Sc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)CC1CCCCC1,600.11,26,7.832,17.07,0,2,5,3,3,0.0,0,0.13,,0
chembl_scaffold_classes,CHEMBL1241781,,O=C(/C(=C\c1ccc(Br)cc1)SCc1ccc(Cl)cc1)c1ccc(Cl)cc1,CRIMWWGLLWBGPD-FYJGNVAPSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)SCc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CCC1CCCCC1)CC1CCCCC1,478.24,27,7.913,17.07,0,2,6,3,3,0.0455,0,0.26,,0
chembl_scaffold_classes,CHEMBL1241782,,O=C(/C(=C\c1ccc(Br)c([N+](=O)[O-])c1)Sc1ccc(Br)cc1)c1ccc(Br)cc1,KPFNCWJTFBWECV-UDWIEESQSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)Sc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)CC1CCCCC1,598.11,29,7.898,60.21,0,4,6,3,3,0.0,0,0.1,,0
chembl_scaffold_classes,CHEMBL1241783,,CN(C)c1ccc(/C=C(/Sc2ccc(Br)cc2)C(=O)c2ccc(Cl)cc2)cc1,BJDNINGOCSYUJJ-PXLXIMEGSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)Sc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)CC1CCCCC1,472.84,28,7.185,20.31,0,3,6,3,3,0.087,0,0.22,,0
chembl_scaffold_classes,CHEMBL1241785,,Cc1ccc(S(=O)(=O)/C(=C/c2ccc(Oc3ccccc3)cc2)C(=O)c2ccc(Cl)cc2)cc1,ODSZWHOQDBITGQ-ZXVVBBHZSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccc(Oc2ccccc2)cc1)S(=O)(=O)c1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCC(CC2CCCCC2)CC1)C(C)(C)C1CCCCC1,488.99,34,7.138,60.44,0,4,7,4,4,0.0357,0,0.2,,0
chembl_scaffold_classes,CHEMBL1241786,,COc1cc(OC)c(/C=C(\C(=O)c2ccc(Br)cc2)S(=O)(=O)c2ccc(C)cc2)c(OC)c1,NOTJBNXOTWAGSC-BUVRLJJBSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)S(=O)(=O)c1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)C(C)(C)C1CCCCC1,531.42,33,5.481,78.9,0,6,8,3,3,0.16,0,0.28,,0
chembl_scaffold_classes,CHEMBL1241787,,Cc1ccc(C)c(/C=C(\C(=O)c2ccc(Cl)cc2)S(=O)(=O)c2ccc(Br)cc2)c1,LDLMIUPHZBQTNC-HYARGMPZSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)S(=O)(=O)c1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)C(C)(C)C1CCCCC1,489.82,29,6.417,51.21,0,3,5,3,3,0.087,0,0.31,,0
chembl_scaffold_classes,CHEMBL1241788,,O=C(/C(=C\c1ccccc1OCc1ccccc1)Sc1ccc(Br)cc1)c1ccc(Cl)cc1,RJPNYTVYBBAPSJ-OVVQPSECSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1OCc1ccccc1)Sc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)CC1CCCCC1CCC1CCCCC1,535.89,33,8.698,26.3,0,3,8,4,4,0.0357,0,0.13,,0
chembl_scaffold_classes,CHEMBL1241789,,O=C(/C(=C\c1ccc(O)c([N+](=O)[O-])c1)S(=O)(=O)Cc1ccc(Br)cc1)c1ccc(Br)cc1,NFJZLWOIYSGZKY-CIAFOILYSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)S(=O)(=O)Cc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1)C(C)(C)CC1CCCCC1,581.24,32,5.664,114.58,1,6,7,3,3,0.0455,0,0.17,,0
chembl_scaffold_classes,CHEMBL1241790,,O=C(/C(=C\c1ccccc1OCc1ccccc1)S(=O)(=O)Cc1ccc(Cl)cc1)c1ccc(Br)cc1,AMBIVBZPQZJHID-MTDXEUNCSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1OCc1ccccc1)S(=O)(=O)Cc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CC1CCCCC1CCC1CCCCC1)C(C)(C)CC1CCCCC1,581.92,36,7.52,60.44,0,4,9,4,4,0.069,0,0.15,,0
chembl_scaffold_classes,CHEMBL1241791,,CN(C)c1ccc(/C=C(/SCc2ccc(Cl)cc2)C(=O)c2ccc([N+](=O)[O-])cc2)cc1,LKDCIPJSMQMEFJ-HZHRSRAPSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)SCc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CCC1CCCCC1)CC1CCCCC1,452.96,31,6.471,63.45,0,5,8,3,3,0.125,0,0.17,,0
chembl_scaffold_classes,CHEMBL1241794,,O=C(/C(=C\c1cccc(Cl)c1Cl)SCc1ccc(Cl)cc1)c1ccc(Cl)cc1,VLGLSFOQIGMQKG-UDWIEESQSA-N,chalcone,"халкон (1,3-дифенилпроп-2-ен-1-он)",O=C(C=Cc1ccccc1)c1ccccc1,"два бензола, связанных еноном (открытая цепь)",флавоноид (предшественник),"предшественники флавоноидов, NLO-хромофоры",изоликвиритигенин,chalcone,1,0,O=C(C(=Cc1ccccc1)SCc1ccccc1)c1ccccc1,CC(C1CCCCC1)C(CCC1CCCCC1)CC1CCCCC1,468.23,28,8.457,17.07,0,2,6,3,3,0.0455,0,0.27,,0
