SMILES,canon,score,sa,scscore,lambda_nm,exact_in_train,exact_in_chembl,exact_in_molecules_csv,max_tc_train,nearest_train,max_tc_chembl,nearest_chembl,max_tc_molecules_csv,nearest_molecules_csv,max_tc_any_ref,novelty_tier,pubchem_cid,exact_in_pubchem,novelty_tier_local
CCN(CC)c1ccc(N=Cc2ccc([N+](=O)[O-])c(N)c2)cc1,CCN(CC)c1ccc(N=Cc2ccc([N+](=O)[O-])c(N)c2)cc1,0.9513666,2.4627,2.7049702605585813,471.6791,False,False,False,0.4489795918367347,CCN(CC)c1ccc(C=C[N+](=O)[O-])cc1,0.2878787878787879,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,0.3728813559322034,CCN(CCC#N)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,0.4489795918367347,moderate_similarity,,False,moderate_similarity
Cc1ccccc1N=Nc1ccc(C=Nc2ccc([N+](=O)[O-])cc2)cc1,Cc1ccccc1N=Nc1ccc(C=Nc2ccc([N+](=O)[O-])cc2)cc1,0.9421016,2.4095,2.42381183051691,452.3375,False,False,False,0.45454545454545453,Cc1cc(O)c(C(C)C)cc1/N=C/c1ccc([N+](=O)[O-])cc1,0.2727272727272727,Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1,0.46,O=[N+]([O-])c1ccc(N=Nc2ccc(O)c3ccccc23)cc1,0.46,moderate_similarity,,False,moderate_similarity
CCN(CC)c1ccc(N=Nc2ccc(C(C#N)c3ccccc3)cc2)cc1,CCN(CC)c1ccc(N=Nc2ccc(C(C#N)c3ccccc3)cc2)cc1,0.9605897,2.9065,2.5352480901006427,460.6678,False,False,False,0.4878048780487805,CCN(CC)c1ccc(N=Nc2ccncc2)cc1,0.25,CN(C)CCOC(c1ccccc1)c1ccccc1,0.4423076923076923,CCN(CCOC(C)OCC(C)C)c1ccc(N=Nc2ccccc2)cc1,0.4878048780487805,moderate_similarity,,False,moderate_similarity
N#CC(C#N)=Cc1ccc(C=C(C#N)c2ccccc2)o1,N#CC(C#N)=Cc1ccc(C=C(C#N)c2ccccc2)o1,0.9758753,2.7261,2.4349850414731526,453.8625,False,False,False,0.5,N#C/C(=C\c1ccc(C=C(c2ccccc2)c2ccccc2)cc1)c1ccccc1,0.23684210526315788,O=C(OOC(=O)c1ccccc1)c1ccccc1,0.35135135135135137,N#CC(=C(c1ccccc1)c1ccccc1)c1ccccc1,0.5,moderate_similarity,,False,moderate_similarity
O=[N+]([O-])c1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c(Cl)c1,O=[N+]([O-])c1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c(Cl)c1,0.9334396,2.1852,2.7745376638456904,451.1853,False,False,False,0.5227272727272727,O=[N+]([O-])C=Cc1ccc(N(c2ccccc2)c2ccc(C=C[N+](=O)[O-])cc2)cc1,0.3225806451612903,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,0.4666666666666667,CN(C)c1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1,0.5227272727272727,moderate_similarity,,False,moderate_similarity
CCN(CC)c1ccc(N=Nc2ccc3nccnc3c2)cc1,CCN(CC)c1ccc(N=Nc2ccc3nccnc3c2)cc1,0.967415,2.4668,2.7718000341802704,469.9628,False,False,False,0.6111111111111112,CCN(CC)c1ccc(N=Nc2ccncc2)cc1,0.23880597014925373,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)[O-])ccc2S(=O)(=O)O)cc1,0.4716981132075472,CCN(CC)c1ccc2nc3ccc(N=Nc4ccc(O)cc4)cc3[n+](-c3ccccc3)c2c1,0.6111111111111112,moderate_similarity,,False,moderate_similarity
CCCCN(CCCC)c1ccc(N=Nc2ccc(N(c3ccc(C#N)cc3)c3ccc(C#N)cc3)cc2)cc1,CCCCN(CCCC)c1ccc(N=Nc2ccc(N(c3ccc(C#N)cc3)c3ccc(C#N)cc3)cc2)cc1,0.9328285,2.7016,2.946324349251447,464.9283,False,False,False,0.625,CCCCCCN(CCCCCC)c1ccc(C#Cc2ccc(C#N)cc2)cc1,0.24615384615384617,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0.40384615384615385,CCN(CCC#N)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,0.625,moderate_similarity,,False,moderate_similarity
CCCC[n+]1ccc(C=Cc2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1,CCCC[n+]1ccc(C=Cc2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1,0.9247824,2.5281,2.202122683359738,468.1298,False,False,False,0.6410256410256411,CCCCCCCCCCCCCCCC[n+]1ccc(/C=C/c2ccc(N(C)C)cc2)cc1,0.2765957446808511,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.4339622641509434,CCCC[N+]1=C(C=Cc2ccc(N(CC)CC)cc2)C(C)(C)c2ccccc21,0.6410256410256411,moderate_similarity,,False,moderate_similarity
CCc1ccc(N(c2ccc(C=C(C#N)C#N)cc2)c2ccc(C=C(C#N)C#N)cc2)cc1,CCc1ccc(N(c2ccc(C=C(C#N)C#N)cc2)c2ccc(C=C(C#N)C#N)cc2)cc1,0.9519923,2.7733,2.859447899016025,472.3734,False,False,False,0.6486486486486487,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc(C=C(C#N)C#N)cc3)cc2)cc1,0.23728813559322035,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,0.2459016393442623,CN(CCC#N)c1ccc(C=CC2=[N+](C)c3ccccc3C2(C)C)cc1,0.6486486486486487,moderate_similarity,,False,moderate_similarity
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(N(c3ccc(C=C(C#N)C#N)cc3)c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1,N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(N(c3ccc(C=C(C#N)C#N)cc3)c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1,0.9222793,2.7987,2.534380407783124,453.9407,False,False,False,0.9,N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.21052631578947367,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,0.3333333333333333,N#Cc1ccc(C=Cc2ccccc2)cc1,0.9,near_duplicate,,False,near_duplicate
N#CC(C#N)=Cc1ccc(N(c2ccc(C=C(C#N)C#N)cc2)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,N#CC(C#N)=Cc1ccc(N(c2ccc(C=C(C#N)C#N)cc2)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.9309357,2.636,2.534380407783124,468.9059,False,False,False,0.9,N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.21052631578947367,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,0.3333333333333333,N#Cc1ccc(C=Cc2ccccc2)cc1,0.9,near_duplicate,,False,near_duplicate
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(C=C(C#N)C#N)cc2)cc1,N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(C=C(C#N)C#N)cc2)cc1,0.9594098,2.6572,2.534380407783124,469.9756,False,False,False,0.9,N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.21052631578947367,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,0.3333333333333333,N#Cc1ccc(C=Cc2ccccc2)cc1,0.9,exact_known_pubchem,15488240.0,True,near_duplicate
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,0.9681988,2.2177,2.534380407783124,452.4452,False,False,False,0.9,N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.21052631578947367,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,0.3333333333333333,N#Cc1ccc(C=Cc2ccccc2)cc1,0.9,exact_known_pubchem,19070262.0,True,near_duplicate
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.9403553,2.2807,2.534380407783124,454.63,False,False,False,0.9,N#CC(C#N)=Cc1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,0.21052631578947367,CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,0.3333333333333333,N#Cc1ccc(C=Cc2ccccc2)cc1,0.9,exact_known_pubchem,101839576.0,True,near_duplicate
Cc1ccc(N(c2ccc(C=C(C#N)C#N)cc2)c2ccc(C=C(C#N)C#N)cc2)cc1,Cc1ccc(N(c2ccc(C=C(C#N)C#N)cc2)c2ccc(C=C(C#N)C#N)cc2)cc1,0.9554274,2.6978,2.568585923368783,471.9663,False,False,False,0.9032258064516129,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc(C=C(C#N)C#N)cc3)cc2)cc1,0.22413793103448276,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,0.2857142857142857,Cc1ccc2nc(C(C#N)=Cc3ccco3)[nH]c2c1,0.9032258064516129,exact_known_pubchem,132569714.0,True,near_duplicate
